"ScientificName","CommonName","Name","SHAPE_Area","SHAPE_Leng","Year","nOcc"
"Abies balsamea","Balsam Fir","Crawford Lake",3533574.91668159,15716.7101569121,"",1
"Abies balsamea","Balsam Fir","Crawford Lake",3533574.91668159,15716.7101569121,"1979",1
"Abies balsamea","Balsam Fir","Crawford Lake",3533574.91668159,15716.7101569121,"2004",4
"Abies balsamea","Balsam Fir","Hilton Falls",6554966.97885713,21467.8635752883,"1979",2
"Abies balsamea","Balsam Fir","Hilton Falls",6554966.97885713,21467.8635752883,"2008",1
"Abies balsamea","Balsam Fir","Hilton Falls",6554966.97885713,21467.8635752883,"2009",12
"Abies balsamea","Balsam Fir","Kelso",4595864.23228718,19903.4650662131,"",1
"Abies balsamea","Balsam Fir","Kelso",4595864.23228718,19903.4650662131,"2006",2
"Abies balsamea","Balsam Fir","Kiwanis",412201.80317718,2596.28369485983,"1980",3
"Abies balsamea","Balsam Fir","Kiwanis",412201.80317718,2596.28369485983,"2010",6
"Abies balsamea","Balsam Fir","Moffat-Badenoch Swamp",1605223.23117661,10018.3092689198,"1980",2
"Abies balsamea","Balsam Fir","Moffat-Badenoch Swamp",1605223.23117661,10018.3092689198,"2007",10
"Abies balsamea","Balsam Fir","Mount Nemo",2041112.44435219,17672.052464976,"2008",2
"Abies balsamea","Balsam Fir","Mountsberg",5567478.30542113,26113.8638965324,"1980",3
"Abies balsamea","Balsam Fir","Mountsberg",5567478.30542113,26113.8638965324,"2005",1
"Abies balsamea","Balsam Fir","Mountsberg",5567478.30542113,26113.8638965324,"2017",1
"Abies balsamea","Balsam Fir","Rattlesnake Point",3134841.54723394,17343.8762811828,"",1
"Abies balsamea","Balsam Fir","Rattlesnake Point",3134841.54723394,17343.8762811828,"1947",1
"Abies balsamea","Balsam Fir","Rattlesnake Point",3134841.54723394,17343.8762811828,"2006",1
"Abies balsamea","Balsam Fir","Shanahan",685139.918946232,3958.93150142607,"1980",1
"Abies balsamea","Balsam Fir","Shanahan",685139.918946232,3958.93150142607,"1994",1
"Abies balsamea","Balsam Fir","Shanahan",685139.918946232,3958.93150142607,"1997",2
"Abies balsamea","Balsam Fir","Shanahan",685139.918946232,3958.93150142607,"1998",1
"Abies balsamea","Balsam Fir","Shanahan",685139.918946232,3958.93150142607,"2003",6
"Acalypha rhomboidea","Three-seeded Mercury","Glenorchy",4044995.26730957,34661.1897742475,"2013",1
"Acalypha rhomboidea","Three-seeded Mercury","Rattlesnake Point",3134841.54723394,17343.8762811828,"",1
"Acanthis flammea","Common Redpoll","Rattlesnake Point",3134841.54723394,17343.8762811828,"1991-95",1
"Acanthis hornemanni","Hoary Redpoll","Rattlesnake Point",3134841.54723394,17343.8762811828,"1955",1
"Accipiter cooperii","Cooper's Hawk","Crawford Lake",3533574.91668159,15716.7101569121,"1991-95",1
"Accipiter cooperii","Cooper's Hawk","Glenorchy",4044995.26730957,34661.1897742475,"2015",1
"Accipiter cooperii","Cooper's Hawk","Hilton Falls",6554966.97885713,21467.8635752883,"1979",1
"Accipiter cooperii","Cooper's Hawk","Hilton Falls",6554966.97885713,21467.8635752883,"2001",1
"Accipiter cooperii","Cooper's Hawk","Mountsberg",5567478.30542113,26113.8638965324,"2009",1
"Accipiter cooperii","Cooper's Hawk","Mountsberg",5567478.30542113,26113.8638965324,"2016",1
"Accipiter cooperii","Cooper's Hawk","Mountsberg",5567478.30542113,26113.8638965324,"2017",1
"Accipiter cooperii","Cooper's Hawk","Waterdown Woods",1201421.16413869,13099.893366282,"2017",1
"Accipiter gentilis","Northern Goshawk","Esquesing",152311.252096643,1621.70962808104,"",1
"Accipiter striatus","Sharp-shinned Hawk","Glenorchy",4044995.26730957,34661.1897742475,"2015",1
"Accipiter striatus","Sharp-shinned Hawk","Hilton Falls",6554966.97885713,21467.8635752883,"2002",1
"Accipiter striatus","Sharp-shinned Hawk","Hilton Falls",6554966.97885713,21467.8635752883,"2014",1
"Accipiter striatus","Sharp-shinned Hawk","Mountsberg",5567478.30542113,26113.8638965324,"1974",1
"Accipiter striatus","Sharp-shinned Hawk","Mountsberg",5567478.30542113,26113.8638965324,"2003",1
"Accipiter striatus","Sharp-shinned Hawk","Mountsberg",5567478.30542113,26113.8638965324,"2006",1
"Accipiter striatus","Sharp-shinned Hawk","Mountsberg",5567478.30542113,26113.8638965324,"2010",1
"Accipiter striatus","Sharp-shinned Hawk","Mountsberg",5567478.30542113,26113.8638965324,"2016",1
"Accipiter striatus","Sharp-shinned Hawk","Rattlesnake Point",3134841.54723394,17343.8762811828,"2004",1
"Accipiter striatus","Sharp-shinned Hawk","Rattlesnake Point",3134841.54723394,17343.8762811828,"2008",2
"Acer","","Crawford Lake",3533574.91668159,15716.7101569121,"2003",1
"Acer","","Hilton Falls",6554966.97885713,21467.8635752883,"2009",1
"Acer","","Kelso",4595864.23228718,19903.4650662131,"2011",1
"Acer negundo","Manitoba Maple","Clappison Woods",855145.068523948,9861.804672706,"",1
"Acer negundo","Manitoba Maple","Crawford Lake",3533574.91668159,15716.7101569121,"2006",1
"Acer negundo","Manitoba Maple","Crawford Lake",3533574.91668159,15716.7101569121,"2009",1
"Acer negundo","Manitoba Maple","Glenorchy",4044995.26730957,34661.1897742475,"",1
"Acer negundo","Manitoba Maple","Glenorchy",4044995.26730957,34661.1897742475,"2008",16
"Acer negundo","Manitoba Maple","Hilton Falls",6554966.97885713,21467.8635752883,"2009",1
"Acer negundo","Manitoba Maple","Kelso",4595864.23228718,19903.4650662131,"",1
"Acer negundo","Manitoba Maple","Kelso",4595864.23228718,19903.4650662131,"2006",3
"Acer negundo","Manitoba Maple","Kelso",4595864.23228718,19903.4650662131,"2010",4
"Acer negundo","Manitoba Maple","Kelso",4595864.23228718,19903.4650662131,"2011",4
"Acer negundo","Manitoba Maple","Moffat-Badenoch Swamp",1605223.23117661,10018.3092689198,"2007",3
"Acer negundo","Manitoba Maple","Morrison-Wedgewood",221411.46388788,9606.69071761443,"2010",1
